"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"AntsAlf100-200.nlogo"
"experiment"
"12/10/2024 22:18:27:974 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-35","35","-35","35"
"[run number]","population","diffusion-rate","evaporation-rate","[step]","total-food"
"219","125","0","21","200","44"
"220","125","0","21","200","46"
"222","125","0","22","200","62"
"223","125","0","22","200","59"
"225","125","0","22","200","52"
"221","125","0","22","200","59"
"226","125","0","22","200","50"
"224","125","0","22","200","59"
"228","125","0","22","200","55"
"230","125","0","22","200","53"
"227","125","0","22","200","54"
"229","125","0","22","200","52"
"231","125","0","23","200","48"
"233","125","0","23","200","64"
"236","125","0","23","200","49"
"234","125","0","23","200","49"
"232","125","0","23","200","37"
"237","125","0","23","200","51"
"235","125","0","23","200","49"
"238","125","0","23","200","53"
"240","125","0","23","200","47"
"239","125","0","23","200","50"
"241","125","0","24","200","53"
"243","125","0","24","200","45"
"242","125","0","24","200","55"
"244","125","0","24","200","51"
"245","125","0","24","200","50"
"246","125","0","24","200","53"
"248","125","0","24","200","48"
"251","125","0","25","200","59"
"247","125","0","24","200","42"
"253","125","0","25","200","57"
"249","125","0","24","200","56"
"254","125","0","25","200","52"
"252","125","0","25","200","56"
"250","125","0","24","200","43"
"257","125","0","25","200","51"
"255","125","0","25","200","61"
"258","125","0","25","200","55"
"198","125","0","19","200","47"
"256","125","0","25","200","52"
"259","125","0","25","200","47"
"260","125","0","25","200","46"
"261","125","0","26","200","56"
"263","125","0","26","200","47"
"262","125","0","26","200","63"
"265","125","0","26","200","54"
"267","125","0","26","200","55"
"264","125","0","26","200","52"
"266","125","0","26","200","61"
"268","125","0","26","200","45"
"270","125","0","26","200","60"
"272","125","0","27","200","51"
"269","125","0","26","200","59"
"271","125","0","27","200","49"
"274","125","0","27","200","55"
"275","125","0","27","200","59"
"276","125","0","27","200","61"
"277","125","0","27","200","56"
"278","125","0","27","200","47"
"279","125","0","27","200","59"
"280","125","0","27","200","57"
"281","125","0","28","200","50"
"285","125","0","28","200","61"
"282","125","0","28","200","57"
"283","125","0","28","200","56"
"286","125","0","28","200","53"
"284","125","0","28","200","56"
"289","125","0","28","200","55"
"288","125","0","28","200","50"
"287","125","0","28","200","53"
"291","125","0","29","200","61"
"290","125","0","28","200","46"
"293","125","0","29","200","53"
"294","125","0","29","200","46"
"295","125","0","29","200","53"
"292","125","0","29","200","59"
"296","125","0","29","200","42"
"297","125","0","29","200","47"
"300","125","0","29","200","49"
"298","125","0","29","200","59"
"299","125","0","29","200","56"
"301","125","0","30","200","56"
"302","125","0","30","200","45"
"303","125","0","30","200","49"
"304","125","0","30","200","53"
"305","125","0","30","200","48"
"306","125","0","30","200","64"
"307","125","0","30","200","58"
"308","125","0","30","200","60"
"309","125","0","30","200","54"
"310","125","0","30","200","61"
"311","125","0","31","200","47"
"312","125","0","31","200","52"
"313","125","0","31","200","54"
"314","125","0","31","200","54"
"315","125","0","31","200","61"
"316","125","0","31","200","41"
"317","125","0","31","200","56"
"318","125","0","31","200","55"
"319","125","0","31","200","58"
"322","125","0","32","200","62"
"323","125","0","32","200","54"
"324","125","0","32","200","61"
"320","125","0","31","200","52"
"321","125","0","32","200","48"
"327","125","0","32","200","51"
"326","125","0","32","200","52"
"328","125","0","32","200","56"
"325","125","0","32","200","61"
"273","125","0","27","200","47"
"329","125","0","32","200","42"
"330","125","0","32","200","51"
"331","125","0","33","200","50"
"332","125","0","33","200","51"
"333","125","0","33","200","51"
"335","125","0","33","200","69"
"336","125","0","33","200","55"
"337","125","0","33","200","47"
"334","125","0","33","200","50"
"338","125","0","33","200","56"
"340","125","0","33","200","48"
"339","125","0","33","200","36"
"341","125","0","34","200","44"
"342","125","0","34","200","50"
"343","125","0","34","200","61"
"345","125","0","34","200","53"
"346","125","0","34","200","54"
"347","125","0","34","200","44"
"348","125","0","34","200","54"
"349","125","0","34","200","38"
"350","125","0","34","200","52"
"352","125","0","35","200","50"
"351","125","0","35","200","57"
"355","125","0","35","200","53"
"358","125","0","35","200","51"
"353","125","0","35","200","57"
"357","125","0","35","200","52"
"354","125","0","35","200","62"
"356","125","0","35","200","59"
"359","125","0","35","200","66"
"360","125","0","35","200","52"
"361","125","0","36","200","54"
"362","125","0","36","200","47"
"363","125","0","36","200","44"
"365","125","0","36","200","49"
"366","125","0","36","200","53"
"364","125","0","36","200","56"
"367","125","0","36","200","59"
"368","125","0","36","200","60"
"369","125","0","36","200","52"
"371","125","0","37","200","62"
"372","125","0","37","200","49"
"370","125","0","36","200","46"
"373","125","0","37","200","63"
"374","125","0","37","200","53"
"376","125","0","37","200","53"
"375","125","0","37","200","50"
"377","125","0","37","200","51"
"379","125","0","37","200","58"
"380","125","0","37","200","52"
"382","125","0","38","200","58"
"378","125","0","37","200","47"
"383","125","0","38","200","62"
"381","125","0","38","200","54"
"384","125","0","38","200","58"
